id,lat,lon,name
IMGW_12295,53.1325,23.1688,Bialystok
IMGW_12600,49.8224,19.0584,Bielsko-Biala
IMGW_12235,53.6958,17.5572,Chojnice
IMGW_12550,50.8118,19.1203,Czestochowa
IMGW_12160,54.1522,19.4088,Elblag
IMGW_12155,54.3520,18.6466,Gdansk
IMGW_12300,52.7368,15.2288,Gorzow Wielkopolski
IMGW_12135,54.6081,18.8011,Hel
IMGW_12500,50.9044,15.7194,Jelenia Gora
IMGW_12435,51.7611,18.0910,Kalisz
IMGW_12650,49.2325,19.9817,Kasprowy Wierch
IMGW_12560,50.2410,19.0330,Katowice
IMGW_12185,54.0760,21.3750,Ketrzyn
IMGW_12570,50.8661,20.6286,Kielce
IMGW_12520,50.4347,16.6619,Klodzko
IMGW_12345,52.2008,18.6386,Kolo
IMGW_12100,54.1758,15.5832,Kolobrzeg
IMGW_12105,54.1944,16.1722,Koszalin
IMGW_12488,51.5836,21.5470,Kozienice
IMGW_12566,50.0780,19.7850,Krakow (Balice)
IMGW_12670,49.6889,21.7700,Krosno
IMGW_12415,51.2070,16.1619,Legnica
IMGW_12690,49.4694,22.3306,Lesko
IMGW_12418,51.8408,16.5747,Leszno
IMGW_12125,54.5389,17.7500,Lebork
IMGW_12495,51.2200,22.3900,Lublin (Radawiec)
IMGW_12120,54.7589,17.5564,Leba
IMGW_12465,51.7220,19.4000,Lodz (Lublinek)
IMGW_12280,53.8019,21.5800,Mikolajki
IMGW_12270,53.1119,20.3811,Mlawa
IMGW_12660,49.6175,20.7153,Nowy Sacz
IMGW_12272,53.7784,20.4801,Olsztyn
IMGW_12530,50.6751,17.9213,Opole
IMGW_12285,53.0861,21.5756,Ostroleka
IMGW_12230,53.1514,16.7383,Pila
IMGW_12001,55.5500,18.2000,Platforma (Baltyk) [przyblizone]
IMGW_12360,52.5463,19.7065,Plock
IMGW_12330,52.4200,16.8300,Poznan (Lawica)
IMGW_12695,49.7853,22.7679,Przemysl
IMGW_12540,50.0917,18.2197,Raciborz
IMGW_12210,53.7667,15.4167,Resko
IMGW_12580,50.1100,22.0200,Rzeszow (Jasionka)
IMGW_12585,50.6822,21.7497,Sandomierz
IMGW_12385,52.1676,22.2902,Siedlce
IMGW_12310,52.3503,14.5594,Slubice
IMGW_12469,51.3556,19.8800,Sulejow
IMGW_12195,54.1117,22.9309,Suwalki
IMGW_12205,53.4000,14.6200,Szczecin (Dabie)
IMGW_12215,53.7072,16.6953,Szczecinek
IMGW_12510,50.7361,15.7400,Sniezka
IMGW_12200,53.9100,14.2475,Swinoujscie
IMGW_12575,50.0121,20.9858,Tarnow
IMGW_12399,52.0758,23.6133,Terespol
IMGW_12250,53.0138,18.5984,Torun
IMGW_12115,54.5805,16.8617,Ustka
IMGW_12375,52.1660,20.9670,Warszawa (Okecie)
IMGW_12455,51.2206,18.5694,Wielun
IMGW_12497,51.5500,23.5500,Wlodawa
IMGW_12424,51.1010,16.8800,Wroclaw
IMGW_12625,49.2992,19.9496,Zakopane
IMGW_12595,50.7231,23.2519,Zamosc
IMGW_12400,51.9356,15.5064,Zielona Gora
