id,lat,lon,name
H_151140030,51.5253,14.8217,Przewozniki (Skroda)
H_153190040,53.9661,19.3692,Bagart (Dzierzgon)
H_149210120,49.8486,21.8117,Godowa (Stobnica)
H_154190080,54.1028,19.4508,Zukowo (Jez. Druzno)
H_154180220,54.2669,18.9514,Gdanska Glowa (Wisla)
H_154190050,54.2306,19.3631,Nowe Batorowo (Zalew Wislany)
H_154180210,54.3528,18.9428,Ujscie Wisly (Wisla)
H_154180190,54.3106,18.9292,Przegalina (Wisla)
H_154190060,54.1722,19.3878,Elblag (Elblag)
H_154180200,54.3364,18.9356,Swibno (Wisla)
H_153140190,53.3689,14.5925,Regalica Szczecin (Regalica)
H_154160150,54.4392,16.3803,Darlowo (Wieprza)
H_154180100,54.7967,18.4186,Wladyslawowo (Baltyk)
H_154190020,54.2842,19.1383,Tujsk (Szkarpawa)
H_153140020,53.1225,14.3819,Widuchowa (Odra)
H_154160110,54.5881,16.8539,Ustka (Baltyk)
H_154190090,54.3233,19.5231,Tolkmicko (Zalew Wislany)
H_153180120,54.6019,18.8006,Hel (Baltyk)
H_153140030,53.2569,14.4844,Gryfino (Odra)
H_154180140,54.3997,18.6981,Gdansk (-)
H_154180180,54.2314,18.7319,Suchy Dab (Bielawa)
H_153230130,53.6625,23.4489,Harasimowicze (Sidra)
H_154170100,54.7633,17.5506,Leba (Baltyk)
H_154180160,54.3464,18.8153,Sobieszewo (Martwa Wisla)
H_153140050,53.4225,14.5597,Szczecin (Odra)
H_154190030,54.265,19.245,Oslonka (Zalew Wislany)
H_154180120,54.5178,18.5553,Gdynia (Baltyk)
H_154190040,54.2525,19.3,Dolna Kepa (Nogat)
H_154150030,54.1867,15.5533,Kolobrzeg (Baltyk)
H_154190010,54.2144,19.1131,Nowy Dwor Gdanski (Swieta)
H_154180090,54.7225,18.4108,Puck (Zatoka Pucka)
H_153140010,53.9083,14.2644,Swinoujscie (Zatoka Pomorska (ujscie Swiny))
H_153140070,54.0206,14.7317,Dziwnow (Dziwna)
H_153140040,53.6592,14.5189,Trzebiez (Zalew Szczecinski)
H_153140060,53.8381,14.6167,Wolin (Dziwna)
H_154190130,54.4258,19.7461,Nowa Pasleka (Zalew Wislany)
H_154170090,54.6811,17.4281,Izbica (Jez. Lebsko)
H_154180170,54.3075,18.7253,Wislina (Motlawa)
H_153190170,53.7028,19.9594,Ostroda (Jez. Drweckie)
H_154190150,54.3006,19.8489,Pierzchaly (Jez. Pierzchalskie; Pasleka)
H_154170190,54.2533,17.9914,Borucino (Jez. Radunskie Gorne)
H_154190100,54.0706,19.66,Paslek (Waska)
H_151180130,51.1103,18.8733,Dzialoszyn (Warta)
H_150170290,50.6342,17.9383,Opole - Groszowice (Odra)
H_149190070,49.7272,19.1361,Lodygowice (Zylica)
H_153210140,53.1803,21.6858,Szkwa (Szkwa)
H_153220160,53.4867,22.6267,Osowiec 2 (Elk (Kanal Rudzki))
H_153220270,53.1542,22.9425,Babino (Narew)
H_152230120,52.9403,23.7572,Bondary - Siemianowka (Zb Siemianowka)
H_152230040,52.9022,23.2322,Ploski (Narew)
H_150150010,50.9892,15.3842,Mirsk (Kwisa)
H_153150050,53.7728,15.3953,Resko (Rega)
H_151170030,51.0822,17.1469,Trestno (Odra)
H_151230010,51.1386,23.0011,Trawniki (Wieprz)
H_152150110,52.6019,15.5003,Skwierzyna (Warta)
H_154180150,54.0872,18.8056,Tczew (Wisla)
H_149220140,49.3025,22.5742,Polana (Czarny)
H_154180260,54.2533,18.63,Pruszcz Gdanski_kanal (Kanal Raduni)
H_152180160,52.2306,18.2942,Konin-Morzyslaw (Kanal Slesinski)
H_152200110,52.4306,20.6597,Modlin (Wisla)
H_152200030,52.3847,20.1931,Wyszogrod (Wisla)
H_152200150,52.3939,20.4228,Wychodzc (Wisla)
H_150200070,50.1775,20.4992,Biskupice (Szreniawa)
H_150180030,50.3519,18.1467,Kozle (Odra)
H_150210030,50.6706,21.0803,Mocha (Lagowica)
H_150180160,50.3825,18.5431,Pyskowice Dzierzno (Drama)
H_150180150,50.3797,18.5433,Pyskowice Dzierzno (Klodnica)
H_149220110,49.1889,22.4292,Kalnica (Wetlina)
H_151220080,51.6792,22.5561,Tchorzew (Tysmienica)
H_150240010,50.8394,24.0358,Strzyzow (Bug)
H_154190160,54.3008,19.8489,Pierzchaly (Jez. Pierzchalskie; Pasleka)
H_150180280,50.0856,18.6286,Rybnik Gotartowice (Ruda)
H_149210090,49.5153,21.4831,Krempna-Kotan (Wisloka)
H_150230040,50.9853,23.1767,Krasnystaw (Wieprz)
H_153220090,53.3781,22.4461,Czachy (Wissa)
H_153170100,53.1236,17.5622,Naklo-Zachod (Notec)
H_153220180,53.1569,22.6736,Zawady (Slina)
H_152180050,52.1983,18.1333,Slawsk (Warta)
H_152140020,52.7642,14.3178,Gozdowice (Odra)
H_152150010,52.6506,14.9994,Swierkocin (Warta)
H_150170130,50.8183,17.6611,Ujscie Nysy Klodzkiej (Odra)
H_151190080,51.3492,19.7819,Kludzice (Luciaza)
H_152140010,52.9292,14.1542,Bielinek (Odra)
H_152150080,52.7336,15.3967,Santok 2 (Warta)
H_150190350,50.9417,19.9608,Januszewice (Czarna)
H_153230060,53.1603,23.1067,Zawady (Biala)
H_150190160,50.04,19.2186,Oswiecim (Sola)
